Code,Name,Symptoms,Treatments
157,Отосклероз,"Потеря слуха (преходящее и прогрессивное), умолкание (прошествие в ушах), головокружение или проблемы баланса","Слуховые аппараты, хирургические операции (такие, как стапедектомия или стапедотомия для замены поврежденной кости в среднем ухе), фторидная терапия натрия (для замедления развития состояния), коммуникационные стратегии и поддержка (такие, как чтение губ или жестовый язык), регулярные оценки слуха"
158,Гипотироидизм,"Усталость, рост веса, чувствительность к холоду, сухая кожа, запор, депрессия, слабость мышц, повышенный уровень холестерина","Замена гормона синтетическим гормоном щитовидной железы (levotiroxin), регулярный мониторинг уровня гормонов щитовидной железы и корректировка дозировки лекарств, изменение образа жизни (такие, как здоровое питание и регулярные упражнения), лечение сопутствующих симптомов (таких, как лекарства для снижения уровня холестерина или антидепрессанты), просвещение и поддержка долгосрочного управления"
159,Начальная бессонница,"Трудно засыпать или оставаться спящим, дневная сонливость, раздражаемость, трудность концентрироваться","Когнитивная и поведенческая терапия для бессонницы (CBT-I), гигиена сна (такие, как поддержание нормального графика сна, создание удобной среды для сна), методы релаксации, методы стимулирования (такие, как ограничение деятельности постели только сном), лечение снотворного, лекарства от бессонницы (такие, как седативная гипнотика, мелатониновые агонисты)"
160,Льва,Зуд и видимое присутствие вшей или вшей (яиц) в волосах,"Излишние или рецептурные лекарства, специально предназначенные для убийства вшей (такие, как педикулициды), ручное удаление вшей и вшей с помощью тонких зубчатых расчесок, мытья и сушки заваренной одежды и постельных принадлежностей при высоких температурах, вакуум обивки и бытовых поверхностей, дезинфекция личных вещей, которые не могут быть промыты или высушены, недопущение прямого контакта между головой и головой с зараженными лицами, стратегии в области образования и профилактики"
161,Недостаток витамина В12,"Усталость, слабость, бледная кожа, дыхание, покалывание или онемение в руках и ногах, проблемы с балансом, болит язык","Добавление витамина В12 (такие, как пероральные добавки или инъекции), изменение рациона питания с включением богатых В12 продуктов питания (таких, как мясо, рыба, яйца и молочные продукты), выявление и устранение коренных причин (таких, как вредные расстройства анемии или малабсорбции), устранение сопутствующих симптомов или осложнений (таких, как нервная боль или проблемы баланса), регулярный мониторинг уровней В12 и корректировка лечения"
162,Вульводиния,"Постоянная боль или дискомфорт в вульве, горение, ужаление, сырость, зуд","Тематические лекарства (такие, как лидокаин или эстрогенные кремы), нервные блоки, физиотерапия (включая релаксационные упражнения для мышечных мышц таза), когнитивная и поведенческая терапия (КБТ), биофевренция, лекарства (такие, как трициклические антидепрессанты или антиконвульсанты), методы лечения и гигиены вулваров, методы снятия стресса, альтернативные методы лечения (такие, как иглоукалывание или травяные средства)"
163,Эндометриоз,"Пельвикская боль (во время менструации, полового сношения или движения кишечника), сильное менструальное кровотечение, бесплодие","Регулирование боли (такие, как нестероидные противовоспалительные препараты, гормональные противозачаточные средства или прогестины), гормональная терапия (такие, как гормон гормона гонадотропина (GnRH) агонисты или пероральные противозачаточные средства), хирургические операции (такие, как лапароскопическая эксцизия или гистерэктомия), лечение деторождения (если требуется беременность), изменение образа жизни (такие, как регулярные упражнения, регулирование стресса), дополнительная терапия (такие, как иглоукалывание или изменение рациона питания)"
164,Васкулит,"Воспаление кровеносных сосудов, приводящее к различным симптомам в зависимости от пораженных органов, включая сыпь, лихорадку, усталость, боль в мышцах и суставах, короткое дыхание, потерю веса","Лечение зависит от типа и тяжести васкулита. Оно может включать в себя кортикостероиды, иммунодепрессивные препараты (такие, как циклофосфамид или азатиоприн), биологическую терапию (такие, как ритуксимаб), лечение конкретных заболеваний (такие, как плазмаферез для определенных типов), поддержку лечения симптомов (такие, как болеутоляющие средства или лекарства от кровяного давления), мониторинг и лечение сопутствующих осложнений (таких, как повреждение органов или инфекция)"
165,Сотрясение,"Голова болит, голова, тошнота или рвота, путаница, проблемы с памятью, чувствительность к свету или шуму, изменения настроения","Физический и когнитивный отдых, постепенное возвращение к нормальной деятельности, лечение симптомов (таких, как обезболивающие или противотошние препараты), мониторинг осложнений (таких, как изменения в неврологической функции), когнитивная реабилитация (в случае постоянных когнитивных проблем), лечение сопутствующих симптомов (таких, как нарушения сна или изменение настроения), образование и поддержка восстановления, недопущение дальнейших травм головы"
166,Оральный лейкоплакия,"Белые пятна или таблички во рту, часто на языке или в щеках, которые нельзя стереть","Регулярный мониторинг и контроль, выявление и ликвидация потенциальных раздражителей (таких, как табак или алкоголь), совершенствование методов гигиены полости рта, медикаментов (таких, как тематические ретиноиды или антифунгальные агенты), хирургическое удаление (в некоторых случаях), криотерапия (замораживание пятен), лазерная терапия, изменение образа жизни (например, здоровое питание), регулярные стоматологические осмотры, образование и поддержка"
167,Хроническая почечная болезнь,"Усталость, опухоль ног или лодыжек, снижение аппетита, трудности концентрации, увеличение мочеиспускания или изменения мочи, кровь в моче, высокое кровяное давление","Регулирование основных заболеваний (таких, как диабет или высокое кровяное давление), изменение образа жизни (таких, как здоровое питание, регулярные упражнения, прекращение курения), лекарственные средства (такие, как ингибиторы АСЕ или диуретика), диализ (на продвинутой стадии), трансплантация почек (на конечной стадии болезни почек), лечение связанных с этим осложнений (таких, как анемия или костное заболевание), регулярный мониторинг и последующее наблюдение с нефрологом, просвещение и поддержка самообслуживания"
168,Нарушения мочевого пузыря,"Частое мочеиспускание, срочность, боль в тазе","Лекарства, обучение мочевому пузырю, изменения в образе жизни"
169,Хориоретинит,"Боль в глазах, размытое зрение, чувствительность к свету","Антивирусные препараты, кортикостероиды, глазные капли"
170,Приапизм,"Устойчивые, болезненные эрекции","Медицинское вмешательство (аспирация, медикаменты, хирургия)"
171,Миосит,"Слабость мышц, боль, воспаление","Лекарства (кортикостероиды, иммунодепрессанты), физиотерапия"
172,Мононуклеоз,"Усталость, боль в горле, опухшие лимфатические узлы","Отдых, обезболивающие, жидкости, лечение симптомов"
173,Невральгия,"Шарп, стреляй болью вдоль поврежденного нерва","Лекарства (безболезненные, антиконвульсанты), нервные блоки"
174,Полициклическая болезнь почек,"Боль в животе, высокое кровяное давление, кисты в почках","Регулирование симптомов, ограничение давления, диализ"
175,Биполярное расстройство,"Качели, маниакальные эпизоды, депрессивные эпизоды","Лекарства (стимулы, антипсихотики), терапия"
176,Амилоидоз,"Усталость, потеря веса, дисфункция органов",Лечение зависит от типа и масштабов повреждения органов
177,Хроническая воспламенительная демьелиническая полиневропатия (CIDP),"Слабость, онемение, покалывание конечностей","Иммуноглобулинная терапия, кортикостероиды, физиотерапия"
178,Заболевание желудочно-кишечным рефлюксом (ГЕРД),"Ожог сердца, кислотный рефлюкс, боль в груди","Изменения в образе жизни, лекарства (антациды, ингибиторы протонных насосов)"
179,Винтовочное кровоизлияние,"Плавучее зрение, размытое зрение, боль в глазах","Наблюдение, лазерная обработка, витрэктомия (в тяжелых случаях)"
180,Отравление антимикробных средств,"Тошнота, рвота, диарея, неврологические симптомы","Незамедлительная медицинская помощь, поддержка, управление противоядием"
181,Склеродерма,"Толщина кожи, явление Рейно","Лекарства (иммуносиппрессанты), терапия, лечение симптомов"
182,Миастения Гравис,"Слабость мышц, усталость, трудный разговор","Лекарства (ингибиторы ацетилхолинестеразы, иммунодепрессанты), тимектомия (в некоторых случаях)"
183,Гипогликемия,"Шум, головокружение, путаница, пот","Потребление глюкозы или сахаросодержащей пищи, корректирующие лекарства или инсулиновую дозу"
184,Идиопатическое отсутствие менструации,Отсутствие менструальных периодов,"Оценка причин, лежащих в основе гормональной терапии"
185,Разъединение лодыжки,"Падение, сильная боль, неспособность нести вес","Сокращение (восстановление костей), иммобилизация, реабилитация"
186,Отравление монооксидом углерода,"Голова болит, голова кружится, тошнит, смущает.","Свежий воздух, кислородная терапия, немедленная медицинская помощь"
187,Паническая атака,"Боль в грудной клетке, дыхание, пальцы","Дыхательные упражнения, методы расслабления, терапия"
188,Плантар Фаститис,"Боль, нежность, трудности в ходьбе","Отдых, упражнение, ортопедия, физиотерапия"
189,Гиперопия,"Трудно видеть объекты близко, размытое зрение, когда они сосредоточены вблизи объектов","Очки, контактные линзы, рефрактивная операция"
190,Отравляющие вещества,"Сонливость, путаница, замедление дыхания","Незамедлительная медицинская помощь, поддержка, управление противоядием"
191,Пемфигус,Больные волдыри на коже и слизистые мембраны,"Кортикостероиды, иммунодепрессанты, уход за ранами"
192,Пироническая болезнь,"Кривизна пениса, боль во время эрекции","Лекарства, тяговая терапия, хирургия"
193,Гиатал Герния,"Ожог сердца, боль в груди, трудности с проглатыванием","Изменения в образе жизни, лекарства (антациды, ингибиторы протонных насосов)"
194,Экспирамидальное воздействие наркотиков,"Жесткость мышц, дрожь, недобровольное перемещение","Регулирование дозировки лекарств, переход на альтернативные лекарства"
195,Болезнь Меньера,"Вертиго, потеря слуха, тишина, полнота слуха","Лекарства (диуретика, лекарственные средства против вертиго), изменения в образе жизни"
196,Anal Fessure,"Боль во время движения кишечника, ректальное кровотечение","Смягчение стульев, волокна, тематические мазки, хирургические операции (в тяжелых случаях)"
197,Хроническая отитная среда,"Боль в ушах, потеря слуха, периодические ушные инфекции","Антибиотики, ушные капли, хирургическое вмешательство (в некоторых случаях)"
198,Болезнь Хиршпрунга,"Хроническое запорное давление, дистензия брюшной полости, непрохождение мекония (у новорожденных)",Хирургия для удаления затронутой части толстой кишки (процедура прогона)
199,Полимальгия Реуматика,"Мышечная боль и жесткость, боль в суставах, усталость","Низкодозированные кортикостероиды, нестероидные противовоспалительные препараты (НСВД)"
200,Лимфадема,"Обувь в руках или ногах, чувство неуступчивости или жесткости","Компрессионная терапия, упражнение, методы лимфатического дренирования, хирургия (в тяжелых случаях)"
201,Рак пузыря,"Кровь в моче, частое мочеиспускание, боль в тазе","Хирургия, химиотерапия, радиационная терапия"
202,Острый бронхоспасм,"Убийство, дыхание, плотность грудной клетки","Бронходилизаторы (вдыхаемые препараты), кортикостероиды, дополнительный кислород (при необходимости)"
203,Острая глаукома,"Острая боль в глазах, размытое зрение, галактики вокруг огней","Лекарства (очки глаз), лазерная терапия, хирургия (в некоторых случаях)"
204,Разъединение Пателлы,"Боль в коленях, опухоль, неспособность выпрямить ногу","Сокращение ручного труда, иммобилизация, физиотерапия"
205,Сциатика,"Боль, излучаемая из нижней части спинки в ногу","Лекарства от боли, физиотерапия, растягивающие упражнения"
206,Гиперкальцемия,"Усталость, тошнота, чрезмерная жажда, камни в почках","Удовлетворение основных причин, гидрация, лекарства"
207,Непрерывность стресса,Непреднамеренная утечка мочи во время физической активности,"Упражнения на полу, методы поведения, хирургия (в тяжелых случаях)"
208,Бениньская почка Cyst,"Боль в брюшной или пашинной полости, кровь в моче, частое мочеиспускание","Наблюдение, медикаменты (в случае необходимости), хирургия (в редких случаях)"
209,Гидроцела яичка,Опухоль мошонки,"Наблюдение, хирургическое дренирование (в некоторых случаях)"
210,Наемничество,Чрезмерный рост волос у женщин,"Лекарства (антиандрогены, оральные противозачаточные средства), методы удаления волос, изменение образа жизни"
211,Гидронефроз,"Болевая боль, частота мочеиспускания, опухоль в животе","Лечение основной причины, лекарств, мочеполового стента, хирургии"
212,Дивертикулоз,"Боль в животе, плавание, изменения в движении кишечника","Диета с высоким содержанием жира, лекарства (избавители от боли, антибиотики)"
213,Боль после операции,"Хирургическая боль, дискомфорт, опухоль","Лекарства от боли, пакеты со льдом, отдых, лечение ран"
214,Болезнь Хантингтона,"Моторные, когнитивные и психические симптомы","Поддержка, лекарства (для лечения симптомов), терапия"
215,Вирус Западного Нила,"Жара, головная боль, боли в теле, сыпь","Поддержка, лечение симптомов, профилактика укусов комаров"
216,Лимфома,"Распухшие лимфатические узлы, необъяснимая потеря веса, усталость","Химиотерапия, радиационная терапия, иммунотерапия, целевая терапия"
217,"Дерматит, вызванный воздействием Солнца","Красная, чесотка, сыпь, волдырь","Тематические кортикостероиды, увлажняющие вещества, исключающие воздействие солнца"
218,Анемия из-за хронической почечной болезни,"Усталость, слабость, бледная кожа","Эритропоизис-стимулирующие вещества (ЭСА), добавки железа, переливание крови (в тяжелых случаях)"
219,"Ущерб, нанесенный внутреннему органу","Боль, кровотечение, дисфункция органов","Незамедлительная медицинская помощь, диагностические тесты, хирургия (в некоторых случаях)"
220,Склерит,"Красная краска, сильная боль в глазах, размытое зрение","Стероидные глазные капли, нестероидные противовоспалительные препараты (НСВД), иммунодепрессанты"
221,Птеригия,Рост на конъюнктуре (белая часть глаза),"Искусственные слёзы, смазочные материалы, хирургическое удаление (в тяжелых случаях)"
222,Грибное заражение кожи,"Рычаг, зуд, красный цвет, очищающая кожа","Антифунгальные кремы, порошки или пероральные препараты, надлежащая гигиена и кожа"
223,Передозировка инсулина,"Низкий уровень сахара в крови (гипогликемия) симптомы (например, путаница, пот)","Незамедлительное лечение гипогликемии, медицинская помощь, коррекция инсулиновой дозы и режим"
224,Синдром неадекватной тайны АПЧ (СИАДХ),"Чрезмерно концентрированная моча, низкий уровень натрия в крови","Удовлетворение основных причин, ограничение жидкости, лекарственные средства для подавления секреции АДХ (васопрессина), решение проблемы дисбаланса электролитов"
225,Синдром предварительной напряженности,"Качели, раздутость, нежность груди, раздражительность","Изменения в образе жизни, лекарства (избавление от боли, гормональные противозачаточные средства), терапия"
226,Орбитальный целлюлит,"Боль в глазах, опухоль, красность, изменение зрения","Антибиотики, госпитализация (в тяжелых случаях), хирургическое дренирование (в некоторых случаях)"
227,Повреждение окорока,"Боль, опухоль, синяки, трудности в ходьбе","R.I.C.E. (Рест, Лед, компрессия, подъем), обезболивающие средства, физиотерапия"
228,Энцефалопатия печени,"Смешение, забывчивость, изменения личности, дрожь","Лечение основных заболеваний печени, лечение симптомов, изменение рациона питания"
229,Рак костей,"Боль в костях, переломы, усталость, необъяснимая потеря веса","Хирургия, химиотерапия, радиационная терапия, целевая терапия"
230,Лейшманиоз,"Кожные язвы, лихорадка, потеря веса, увеличенная селезенка или печень","Антипаразитные препараты, лечение осложнений, меры по борьбе с переносчиками болезней (в эндемических районах)"
231,Болезнь Шагаса,"Жара, усталость, боли в теле, проблемы с сердцем и пищеварением","Антипаразитные препараты, лекарства для борьбы с симптомами, вспомогательные услуги"
232,Серингомелия,"Слабость мышц, потеря ощущения, хроническая боль","Хирургическая декомпрессия, осушение сиринкса (цикл), физиотерапия, методы обезболивания"
233,Легкий фиброз,"Слабость дыхания, сухой кашель, усталость","Лекарства (иммуносупрессанты, антифибротические препараты), кислородная терапия, трансплантация легких"
234,Болезнь митрального клапана,"Усталость, нехватка дыхания, сердцебиение","Лекарства, изменения в образе жизни, хирургический ремонт или замена клапана (в тяжелых случаях)"
235,Болезнь Паркинсона,"Треморы, жесткость, медлительность движения","Лекарства (левопа, агонисты дофамина), физиотерапия, глубокая стимуляция мозга"
236,Гут,"Интенсивная боль в суставе, опухоль, красность","Лекарства (нестероидные противовоспалительные препараты, колхицин), изменения в образе жизни"
237,Отитная среда,"Уши болит, жар, жидкость стекает из уха.","Антибиотики (в случае бактериальной инфекции), обезболивающие средства, наблюдение (в некоторых случаях)"
238,Миэлодиспластический синдром,"Усталость, частые инфекции, легкая побитость или кровотечение","Поддержка, переливание крови, лекарства, трансплантация костного мозга (в некоторых случаях)"
239,Перелом лопатки,"Боль в плече, опухоль, ограниченный диапазон движения","Иммобилизация (клинг, брек), обезболивание, физиотерапия, хирургическое вмешательство (в тяжелых случаях)"
240,Острая почечная травма,"Сокращение объема мочи, удержание жидкости, усталость","Лечение основных причин, оказание поддержки, лечение осложнений, диализ (в тяжелых случаях)"
241,Угрожаемая беременность,"Вагинальное кровотечение, боли в животе, боль в тазе","Отдых в постель, лекарства (прогестерон), мониторинг, недопущение действий, которые могут вызвать стресс при беременности"
242,Внутричерепный абсцесс,"Головная боль, лихорадка, неврологические расстройства","Антибиотики, хирургическое дренирование или удаление абсцесса, поддержка"
243,Болезнь желудка,"Плохая, красная, нежная жвачка, кровоточащие жвачки","Гигиена полости рта (чистка, нить), профессиональная стоматологическая чистка, медикаменты, хирургическое вмешательство"
244,Открытая рана от хирургического разреза,"Красота, опухоль, разрядка из раны","Уход за ранеными (чистка, перевязка), антибиотики (при наличии инфекции), хирургические операции"
245,Гастроинальное кровотечение,"Боль в брюшной полости, рвота в крови, кровопролитные или черные стулья","Переливание крови, эндоскопия, хирургия (в тяжелых случаях), лекарства для прекращения кровотечения"
246,Себорреевый дерматит,"Красный, чешется и маслянистые пятна кожи, мандраф, хрустящий скальп","Тематические антифунгальные кремы или мазь, лекарственные шампуни, кортикостероидные кремы"
247,Злоупотребление наркотиками (метамфетамин),"Повышение энергии и бдительности, снижение аппетита, быстрое сердцебиение","Детоксикация, консультирование, поведенческая терапия, группы поддержки, медикаментозное лечение (если применимо)"
248,Тортиколлис,"Шейная боль, жесткость и ненормальное положение головы","Физическая терапия, обезболивающие средства, инъекции ботулинового токсина (в тяжелых случаях)"
249,Отравление антигипертоксикацией,"Голова, низкое кровяное давление, медленный сердечный ритм, тошнота, рвота","Незамедлительная медицинская помощь, использование активированного древесного угля, поддержка, конкретные антидоты"
250,Напряжение Головная боль,"Мягко к умеренной боли в голове, жесткости или ощущения давления с обеих сторон головы","Сверхвысокоскорлупные обезболивающие устройства, методы релаксации, регулирование стресса"
251,Алкогольная опьянение,"Скрытая речь, нарушение координации, путаница","Оказание поддержки, обеспечение гидрации, мониторинг жизненно важных признаков, предотвращение осложнений"
252,Скручивание,"Усталость, опухшие и кровоточащие жвачки, боль в суставах","Добавление витамина С, изменение рациона питания, гигиена полости рта"
253,Нарколепсия,"Чрезмерная дневная сонливость, внезапная потеря тона мышц (катаплексия)","Тимулирующие лекарства, антидепрессанты, изменения в образе жизни, плановые сна"
254,Аллергия на продукты питания,"Рак, зуд, опухоль, затрудненное дыхание, желудочно-кишечные симптомы","Избежание аллергенных продуктов питания, антигистамина, эпинефрина (в тяжелых случаях)"
255,Лабиринтит,"Вертиго, головокружение, тошнота, потеря слуха, боль в ушах","Лекарства (антибиотики, антивирусы), реабилитационная терапия"
256,Беспокойство,"Чрезмерное беспокойство, беспокойство, увеличение пульса, панические приступы","Терапия (когнитивная-поведенческая терапия, психотерапия), лекарства (антидепрессанты, противоопасные препараты)"
257,Нарушение контроля над импульсами,"Инмпульсивное поведение (например, азартные игры, воровство), трудности противодействия желаниям","Психотерапия, лекарства (в некоторых случаях), группы поддержки, поведенческие вмешательства"
258,Стеноз слез,"Чрезмерный разрыв, вырывание глаз, периодические инфекционные заболевания глаз","Проверка слезоточивого трубопровода, расширение, хирургическая коррекция"
259,Отклонение носа,"Боль, опухоль, красность, выброс из носа","Антибиотики, тепловые компрессы, хирургические дренажные системы (в тяжелых случаях)"
260,Омфалит,"Красная, опухоль, разрядка, вредоносный запах вокруг пуповины","Антибиотики, лечение ран, хирургическое вмешательство (в тяжелых случаях)"
261,Лейкемия,"Усталость, бледная кожа, частые инфекции, легкое кровотечение или синяки","Химиотерапия, радиационная терапия, трансплантация стволовых клеток, целевая терапия, поддержка"
262,Белл Палси,"Слабость лица или паралич, сползание рта или веки","Кортикостероиды, противовирусные препараты, защита глаз, физиотерапия"
263,Конъюнктивит из-за Аллергии,"Красная, зудящая, водяная сливка, опухшие веки","Избегание аллергена, антигистаминовые глазные капли, холодные компрессии, смазочные капли"
264,Реакция на наркотики,"Рычаг, зуд, опухоль, лихорадка, респираторные симптомы","Прекращение употребления наркотиков-нарушителей, оказание поддержки, антигистамин, кортикостероиды (в тяжелых случаях)"
265,Рак на голове,"Боль в животе или в спине, необъяснимая потеря веса, гормональный дисбаланс","Хирургия (адреналектомия), химиотерапия, радиационная терапия, целевая терапия, заместительная гормональная терапия"
266,Мьопия,"Просветленное расстояние обзора, прожектора, щупальца","Очки, контактные линзы, рефрактивная хирургия (LASIK), ортопедология (в некоторых случаях)"
267,Остеоартрит,"Боль, жесткость, опухоль","Обезболивающие устройства, физиотерапия, регулирование веса, вспомогательные устройства, хирургические операции (в тяжелых случаях)"
268,Болезнь тироида,"Усталость, изменение веса, перепады настроения, сухая кожа","Лекарства (замена тироидных гормонов, антитироидных препаратов), радиоактивная йодная терапия, хирургия (в некоторых случаях)"
269,Фарингит,"Горло болит, трудно проглотить, опухшие лимфатические узлы","Отдых, обезболивающие, лизинги горла, антибиотики (в случае бактериальной инфекции), симптоматическое облегчение"
270,Хроническая ревматическая лихорадка,"Болезнь, температура, сыпь, воспаление сердца","Антибиотики (для лечения стрептококковых инфекций), противовоспалительные препараты, лекарства от осложнений сердца"
271,Гипокалькемия,"Опухоль или покалывание пальцами или вокруг рта, мышечные спазмы","Кальций и добавки витамина D, лечение коренных причин, внутривенный кальций (в тяжелых случаях)"
272,Маккулярная дегенерация,"Пробелы или искажения центрального обзора, слепые пятна","Визуальные средства, лекарства (инъекции в глаз), лазерная терапия, фотодинамическая терапия, хирургическое вмешательство"
273,Пневмония,"Кашель, жар, боль в груди, затрудненное дыхание","Антибиотики, противовирусные препараты (если это применимо), отдых, жидкости, симптоматическое облегчение"
274,Холодная боль,"Маленькие, болезненные волдыри на губах или вокруг рта","Антивирусные препараты (тематические или оральные), обезболивающие средства, противовирусные кремы, меры самообслуживания"
275,Предварительное свертывание Венеральной сети (ПВЦ),"Разбитое или дополнительное сердцебиение, пальцы, головокружение","Мониторинг (в большинстве случаев), изменение образа жизни, лекарственные препараты (бетаблокаторы, антиарифмические средства)"
276,Чанкроид,"Больные язвы или язвы на гениталиях, опухшие лимфатические узлы паха","Антибиотики (такие, как азитромицин или цефтриаксон), обезболивание, теплое сжимание, гигиена"
277,Рак яичек,"Опухоль или опухоль в яичках, боль или дискомфорт, изменение размера или формы яичек","Хирургия (орхиэктомия), химиотерапия, радиационная терапия, наблюдение (в некоторых случаях)"
278,Гидроцефалия,"Головная боль, тошнота, рвота, когнитивные проблемы или проблемы развития, повышенная голова у младенцев","Помещение затвора (для отвлечения избыточной цереброспинальной жидкости), эндоскопическая третья желудочно-кишечная, лекарственная (в некоторых случаях)"
